,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,residence_area_type1,sourcing_channel1,premium,renewal_prob,incentives,hours
2,0.917,17531,84140,2.0,3.0,1.0,98.69,7,0,2,3300,0.019120190136012287,-282.82303178390526,-10.280151973430582
7,1.0,21911,180240,1.0,6.0,4.0,99.33,3,1,0,9600,0.12398202731491931,23.67735590935798,0.5747552306407167
9,0.908,23008,107180,2.0,0.0,0.0,98.91,11,0,0,5400,0.26337305838226344,48.87391944047578,1.1501519056450848
19,0.0,11687,152610,1.0,2.0,1.0,99.53,5,1,2,9600,0.049073580322674906,-92.62189312599412,-2.605583185947602
30,0.326,17895,200050,0.0,0.0,0.0,98.79,11,0,0,1200,0.6479835898938782,-32.630526734268976,-0.8499601788723332
32,0.301,13513,150080,0.0,0.0,0.0,97.44,15,1,0,9600,0.4940650311145437,250.4247096738683,4.653065966372734
40,0.945,17165,105520,0.0,10.0,0.0,99.58,8,1,2,5400,0.11915492585630764,-56.04655808307268,-1.5040769300710366
45,0.863,18992,92450,3.0,1.0,2.0,98.77,11,1,1,3300,0.014970870721781462,-301.8099346841576,-11.266008006130455
62,0.971,9870,31570,1.0,1.0,0.0,99.17,8,1,0,5700,0.11103942379494734,-58.0392065098218,-1.561528865132642
80,0.585,16804,60030,0.0,0.0,0.0,98.37,5,1,1,5700,0.46763086680300087,146.63392979665116,3.0690265764071487
81,1.0,16065,329550,0.0,0.0,0.0,99.77,2,1,3,18000,0.40474012754153066,337.9949215425038,5.704371880326754
95,0.725,26295,216070,0.0,0.0,0.0,98.6,14,1,0,11700,0.40990808701469905,252.57161878796865,4.681687541285987
102,0.503,18257,112540,3.0,0.0,0.0,99.74,13,1,0,5400,0.21878622578162735,22.651454283103075,0.5505507698222334
111,1.0,9139,63680,0.0,1.0,0.0,99.22,6,1,0,5400,0.13481198840495526,-40.888119172240806,-1.0762745288842357
113,0.914,20089,129100,2.0,0.0,0.0,97.87,19,1,1,1200,0.12366805811052024,-210.1748191694095,-6.911978213801229
191,1.0,16072,135060,0.0,4.0,1.0,98.86,6,1,1,9600,0.026636037275814185,-157.99584136545442,-4.843687584726983
213,0.95,17893,255290,1.0,0.0,0.0,98.71,18,0,0,20100,0.2005435575371947,219.60929915267164,4.224863773624763
266,0.796,17531,774150,1.0,2.0,0.0,99.71,11,1,1,45300,0.2461730132364515,434.5706309523857,6.625799134776242
267,0.985,20450,300150,1.0,0.0,1.0,99.71,13,1,0,20100,0.13628697163639353,151.23177125023568,3.14823923746951
270,1.0,10959,62470,1.0,0.0,0.0,99.56,3,1,0,3300,0.16993184403227574,-72.47123895395131,-1.9862863290983146
271,0.667,18630,151560,1.0,0.0,0.0,98.65,13,1,0,13800,0.24029681896349936,184.23968352300176,3.690945119045547
